iter	Passed	Remaining
0	62	62721
1	116	58100
2	174	58017
3	227	56614
4	282	56240
5	332	55001
6	382	54267
7	437	54196
8	483	53252
9	539	53372
10	598	53842
11	650	53541
12	696	52918
13	755	53208
14	805	52903
15	858	52794
16	902	52211
17	956	52208
18	1005	51893
19	1053	51601
20	1102	51404
21	1154	51339
22	1203	51108
23	1259	51214
24	1311	51166
25	1358	50884
26	1412	50919
27	1477	51304
28	1540	51590
29	1592	51494
30	1642	51341
31	1693	51235
32	1742	51057
33	1793	50942
34	1849	51004
35	1902	50936
36	1951	50788
37	2005	50764
38	2055	50650
39	2105	50520
40	2154	50385
41	2206	50320
42	2251	50108
43	2309	50171
44	2367	50239
45	2417	50143
46	2466	50011
47	2523	50040
48	2574	49962
49	2631	49996
50	2678	49838
51	2728	49734
52	2774	49573
53	2827	49541
54	2882	49527
55	2939	49557
56	2994	49538
57	3038	49343
58	3087	49246
559	3274	51297660	3328	51231661	3383	51194662	3436	51110663	3490	51051664	3541	50945665	3603	50996666	3655	50905667	3704	50768668	3762	50762669	3811	50642770	3862	50543771	3916	50483772	3974	50469773	4031	50454774	4087	50409775	4145	50399776	4204	50393777	4264	50413778	4314	50305779	4368	50239880	4418	50128881	4468	50020882	4514	49872883	4568	49821884	4623	49769885	4679	49736886	4735	49696887	4795	49702888	4854	49693889	4900	49546990	4962	49573991	5021	49562992	5076	49508993	5135	49497994	5188	49428995	5242	49368996	5297	49320997	5353	49271998	5408	49220999	5464	491771100	5515	490951101	5563	489761102	5615	489041103	5669	488461104	5726	48808
105	5779	48742
106	5828	48639
107	5880	48567
108	5935	48521
109	5998	48533
110	6049	48447
111	6099	48357
112	6154	48310
113	6201	48196
114	6254	48133
115	6304	48047
116	6360	47999
117	6413	47938
118	6471	47911
119	6526	47857
120	6596	47918
121	6661	47943
122	6716	47891
123	6765	47796
124	6817	47725
125	6866	47626
126	6921	47575
127	6975	47521
128	7036	47507
129	7075	47351
130	7124	47260
131	7167	47129
132	7223	47086
133	7276	47028
134	7328	46959
135	7389	46943
136	7445	46899
137	7501	46858
138	7559	46826
139	7603	46707
140	7660	46667
141	7718	46636
142	7775	46600
143	7830	46545
144	7884	46491
145	7942	46456
146	8002	46434
147	8060	46401
148	8115	46349
149	8171	46303
150	8229	46272
151	8282	46207
152	8333	46135
153	8385	46068
154	8439	46011
155	8496	45967
156	8552	45920
157	8605	45858
158	8659	45802
159	8714	45752
160	8775	45731
161	8832	45690
162	8889	45647
163	8948	45614
164	8996	45528
165	9050	45471
166	9083	45310
167	9142	45276
168	9197	45226
169	9258	45204
170	9317	45169
171	9365	45086
172	9422	45045
173	9478	44995
174	9525	44904
175	9574	44826
176	9629	44773
177	9702	44806
178	9745	44699
179	9801	44650
180	9856	44600
181	9911	44549
182	9963	44480
183	10010	44395
184	10073	44376
185	10132	44343
186	10190	44302
187	10238	44221
188	10291	44159
189	10345	44104
190	10404	44067
191	10460	44019
192	10511	43952
193	10566	43901
194	10629	43880
195	10683	43825
196	10752	43830
197	10826	43852
198	10890	43837
199	10963	43855
200	11021	43812
201	11079	43770
202	11139	43736
203	11207	43730
204	11270	43708
205	11338	43704
206	11391	43639
207	11447	43587
208	11503	43535
209	11556	43476
210	11637	43518
211	11700	43489
212	11751	43419
213	11802	43350
214	11855	43287
215	11908	43221
216	11966	43179
217	12022	43128
218	12078	43074
219	12131	43010
220	12184	42949
221	12244	42912
222	12298	42852
223	12353	42797
224	12412	42754
225	12471	42711
226	12528	42664
227	12581	42599
228	12632	42530
229	12682	42458
230	12741	42415
231	12793	42350
232	12847	42291
